"Area.Code","Area","Months.Code","Months","Element.Code","Element","Unit","Y2018"
2,"Afghanistan",7001,"January",7271,"Temperature change","°C",1.996
3,"Albania",7001,"January",7271,"Temperature change","°C",2.304
4,"Algeria",7001,"January",7271,"Temperature change","°C",1.504
5,"American Samoa",7001,"January",7271,"Temperature change","°C",0.763
6,"Andorra",7001,"January",7271,"Temperature change","°C",3.379
7,"Angola",7001,"January",7271,"Temperature change","°C",0.636
258,"Anguilla",7001,"January",7271,"Temperature change","°C",1.056
30,"Antarctica",7001,"January",7271,"Temperature change","°C",0.757
8,"Antigua and Barbuda",7001,"January",7271,"Temperature change","°C",1.311
9,"Argentina",7001,"January",7271,"Temperature change","°C",0.839
1,"Armenia",7001,"January",7271,"Temperature change","°C",3.544
22,"Aruba",7001,"January",7271,"Temperature change","°C",1.529
10,"Australia",7001,"January",7271,"Temperature change","°C",1.494
11,"Austria",7001,"January",7271,"Temperature change","°C",4.845
52,"Azerbaijan",7001,"January",7271,"Temperature change","°C",2.007
12,"Bahamas",7001,"January",7271,"Temperature change","°C",0.657
13,"Bahrain",7001,"January",7271,"Temperature change","°C",1.347
16,"Bangladesh",7001,"January",7271,"Temperature change","°C",-0.415
14,"Barbados",7001,"January",7271,"Temperature change","°C",0.793
57,"Belarus",7001,"January",7271,"Temperature change","°C",4.307
255,"Belgium",7001,"January",7271,"Temperature change","°C",4.076
15,"Belgium-Luxembourg",7001,"January",7271,"Temperature change","°C",NA
23,"Belize",7001,"January",7271,"Temperature change","°C",0.611
53,"Benin",7001,"January",7271,"Temperature change","°C",0.101
18,"Bhutan",7001,"January",7271,"Temperature change","°C",2.159
19,"Bolivia (Plurinational State of)",7001,"January",7271,"Temperature change","°C",0.51
80,"Bosnia and Herzegovina",7001,"January",7271,"Temperature change","°C",4.068
20,"Botswana",7001,"January",7271,"Temperature change","°C",1.841
21,"Brazil",7001,"January",7271,"Temperature change","°C",1.145
239,"British Virgin Islands",7001,"January",7271,"Temperature change","°C",0.847
26,"Brunei Darussalam",7001,"January",7271,"Temperature change","°C",0.948
27,"Bulgaria",7001,"January",7271,"Temperature change","°C",2.995
233,"Burkina Faso",7001,"January",7271,"Temperature change","°C",-0.069
29,"Burundi",7001,"January",7271,"Temperature change","°C",NA
35,"Cabo Verde",7001,"January",7271,"Temperature change","°C",0.808
115,"Cambodia",7001,"January",7271,"Temperature change","°C",1.398
32,"Cameroon",7001,"January",7271,"Temperature change","°C",0.482
33,"Canada",7001,"January",7271,"Temperature change","°C",2.68
36,"Cayman Islands",7001,"January",7271,"Temperature change","°C",0.306
37,"Central African Republic",7001,"January",7271,"Temperature change","°C",-0.301
39,"Chad",7001,"January",7271,"Temperature change","°C",-0.579
259,"Channel Islands",7001,"January",7271,"Temperature change","°C",2.95
40,"Chile",7001,"January",7271,"Temperature change","°C",0.486
351,"China",7001,"January",7271,"Temperature change","°C",0.654
